"id","student_id","course_id","course_schedule_id","admission_date","amount","discount","payment_status","payment_id","next_payment_date","status","created_at","updated_at"
"196","196","137","187","2023-03-18","0.00","0.00","pending","196","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"197","197","124","174","2023-03-20","0.00","0.00","pending","197","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"198","198","128","178","2023-03-21","0.00","0.00","pending","198","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"199","199","144","194","2023-03-22","0.00","0.00","pending","199","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"200","200","137","187","2023-03-23","0.00","0.00","pending","200","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"201","201","136","186","2023-03-23","0.00","0.00","pending","201","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"202","202","143","193","2023-03-23","0.00","0.00","pending","202","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"203","203","89","139","2023-03-27","0.00","0.00","pending","203","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"204","204","128","178","2023-03-28","0.00","0.00","pending","204","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"205","205","136","186","2023-03-28","0.00","0.00","pending","205","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"206","206","126","176","2023-03-28","0.00","0.00","pending","206","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"207","207","134","184","2023-03-28","0.00","0.00","pending","207","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"208","208","139","189","2023-03-29","0.00","0.00","pending","208","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"209","209","137","187","2023-03-29","0.00","0.00","pending","209","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"210","210","134","184","2023-03-29","0.00","0.00","pending","210","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
